clip_1 | Just 50 years ago,
clip_165 | Sheephead wrasse.
clip_166 | They have powerful teeth
clip_167 | and can make short work of the smaller purple urchins.
clip_168 | The larger black urchins are more of a challenge,
clip_169 | especially for smaller wrasse.
clip_170 | Only the very largest sheephead can tackle them.
clip_171 | But it still has to get past those long spines.
clip_172 | The urchin has to be flipped over to expose its vulnerable underside.
clip_173 | Not easy when you have no hands.
clip_174 | Success at last.
clip_175 | And everybody benefits.
clip_176 | These fish and otters, living within marine protected areas,
clip_177 | keep the kelp grazers under control.
clip_178 | But just outside these sanctuaries, the urchins graze unchecked...
clip_179 | and fell the kelp forest.
clip_180 | All those that depend on the kelp have disappeared.
clip_181 | In California, kelp forests grow abundantly in protected areas
clip_182 | where the whole marine community can live without pressure from people.
clip_183 | Here, at least, sea otters can chill out Californian style.
clip_184 | Three thousand kilometers further north, in Alaska,
clip_185 | spring arrives much later in the year.
clip_186 | After a cold, hard winter,
clip_187 | the first rays of the sun trigger a great annual event.
clip_188 | Immense shoals of herring rise up from the depths
clip_189 | and move into shallower waters.
clip_190 | They're gathering to breed.
clip_191 | But predators are waiting for them.
clip_192 | Steller's sea lions.
clip_193 | So intent on their mission, the herring make easy prey.
clip_194 | Sea lions drive the fish to the surface, within range of aerial hunters.
clip_195 | Bald eagles, normally solitary birds, have assembled in numbers for the feast.
clip_196 | In places, the herrings reach shore,
clip_197 | and there the eagles don't even need to take to the air.
clip_198 | Humpback whales.
clip_199 | They have come all the way from the tropics,
clip_200 | hoping to get their first meal in months.
clip_201 | These whales have a remarkable way of collecting this seasonal bounty.
clip_202 | They work as a team.
clip_203 | The lead whale dives first...
clip_204 | and blows a curtain of bubbles to concentrate the fish.
clip_205 | A call synchronizes the attack.
clip_206 | By cooperating in this way, each whale can eat a ton of fish a day.
clip_207 | Yet the herring are so abundant
clip_208 | that, in spite of the whales, most managed to reach the shallows.
clip_209 | And here they spawn.
clip_210 | The females lay their eggs on the seagrass.
clip_211 | The males follow, fertilizing the eggs with clouds of sperm.
clip_212 | Once, herring thrived here in an abundance we can barely imagine today.
clip_213 | They used to turn shorelines white with spawn,
clip_214 | right across the North Pacific from Japan to California.
clip_215 | With industrialized fishing techniques
clip_216 | it's all too easy to overexploit these breeding stocks.
clip_217 | This is one of the few places where a fishery still survives.
clip_218 | Pacific herring populations are greatly reduced.
clip_219 | A mere fraction of what they once were.
clip_220 | This sorry tale of unsustainable fishing
clip_221 | has been repeated time and again around the world.
clip_222 | Many of the world's fish stocks are now in serious decline.
clip_223 | A third of them have collapsed altogether.
clip_224 | In coastal seas,
clip_225 | jellyfish are taking over waters that were once dominated by fish.
clip_226 | Compass jellyfish have an ethereal beauty,
clip_227 | but they provide very little sustenance for other wildlife or us.
clip_228 | These immense swarms are becoming increasingly common.
clip_229 | A worrying sign of a serious imbalance in our shallow seas.
clip_230 | Unless we start to fish sustainably, our seas, once so bountiful,
clip_231 | will be filled with little more than vast swarms... of jellyfish.
clip_232 | But the future does not have to be like this.
clip_233 | On the Pacific coast of South America, we can see how the oceans can recover.
clip_234 | The Atacama, the world's driest desert.
clip_235 | Inland it's barely able to sustain life of any kind,
clip_236 | and yet the coast could not be more different.
clip_237 | For centuries, seabirds have gathered in millions on these desert shores.
clip_238 | But 50 years ago the great colonies disappeared
clip_239 | because we overfished the local waters.
clip_240 | Controls were introduced, and now the fish stocks are recovering.
clip_241 | So today, three million guanay cormorants assemble each year to raise their young.
clip_242 | Each morning the birds head out to sea.
clip_243 | The colonies are so vast they take over an hour to empty.
clip_244 | Joining the procession, Inca terns.
clip_245 | Peruvian boobies.
clip_246 | A great caravan of hunters, all searching for the same thing.
clip_247 | Anchovies.
clip_248 | These little fish are so abundant
clip_249 | that they support the greatest fishery on our planet.
clip_250 | Astonishingly, they can account for a tenth of all the fish
clip_251 | we harvest from our oceans every year.
clip_252 | Sea lions are first to find the shoals.
clip_253 | As fish are driven to the surface, they come within range of pelicans.
clip_254 | Cormorants dive to grab their share.
clip_255 | Boobies strike from heights of 20 meters.
clip_256 | They hit the water at a hundred kilometers an hour.
clip_257 | Today, the lives of five million cormorants and boobies
clip_258 | depend on the great shoals.
clip_259 | Yet, if we allow the anchovies to fully recover,
clip_260 | they could sustain the 25 million seabirds they once did.
clip_261 | It is a vivid reminder
clip_262 | of the astonishing riches our coastal seas can support.
clip_263 | And, when given the chance, they can recover surprisingly quickly.
clip_264 | The islands of Raja Ampat in Southeast Asia.
clip_265 | These seas were largely stripped of sharks and other large fish
clip_266 | by years of unregulated fishing.
clip_267 | This lagoon was once occupied by a shark fishing camp.
clip_268 | Now it's a nursery for baby sharks.
clip_269 | The seas around Misool were fully protected in 2007,
clip_270 | and the recovery has been miraculous.
clip_271 | Today there are 25 times more sharks than a decade ago.
clip_272 | Turtles that used to be hunted now peacefully graze on the seagrass.
clip_273 | Sharks are returning to local reefs,
clip_274 | helping to restore the balanced community,
clip_275 | giving them a greater resilience against the effects of coral bleaching.
clip_276 | Ocean-going manta rays.
clip_277 | Seven meters from wing tip to wing tip.
clip_278 | These endangered giants
clip_279 | spend most of their lives roaming the high seas.
clip_280 | But now they are returning to this sanctuary
clip_281 | to seek the attention of cleaner wrasse.
clip_282 | Misool is one of the few places on Earth where biodiversity is actually increasing.
clip_283 | Since protection, there are three times more fish
clip_284 | than just ten years ago.
clip_285 | Fishermen working nearby waters profit from the overspill.
clip_286 | They now catch more fish for less effort.
clip_287 | We have far too few marine sanctuaries,
clip_288 | and in many commercial fishing is still allowed.
clip_289 | We need to turn a third of all our coastal seas
clip_290 | into properly protected areas.
clip_291 | If we do that, our planet's fishing grounds would recover
clip_292 | and help sustain both humanity and the rest of the natural world.
clip_293 | Please visit ourplanet.com
clip_294 | to discover what we need to do now to restore our coastal seas.
