clip_1 | Just 50 years ago,
clip_169 | the Miombo attracts animals from all across southern Africa.
clip_170 | Elephants prefer grass if they can get it. It's very nutritious.
clip_171 | In its absence,
clip_172 | they browse on the abundant leaves and branches of the Miombo.
clip_173 | But they're not the only hungry ones here.
clip_174 | These mopane worms
clip_175 | are not worms, of course, but caterpillars.
clip_176 | They hatch simultaneously in huge numbers.
clip_177 | And just as the forest is putting out new leaves,
clip_178 | they begin their attack.
clip_179 | They feed so voraciously
clip_180 | that in just six weeks they increase their size 40 times.
clip_181 | By the time they're fully developed, this million-strong army
clip_182 | will have stripped the entire forest of its foliage.
clip_183 | But the Miombo bounces back.
clip_184 | With the caterpillars gone,
clip_185 | the trees produce a second growth of leaves.
clip_186 | This fresh feast then attracts elephants.
clip_187 | They are less fussy than the caterpillars.
clip_188 | They will eat every part of the tree.
clip_189 | And a hungry elephant can munch through 200 kilos of vegetation in a day.
clip_190 | Yet, even this destruction has its benefits.
clip_191 | It shapes the forest in a way that helps one of Africa's most endangered animals.
clip_192 | Hunting dogs.
clip_193 | They're seen most frequently, and most easily, on grasslands.
clip_194 | But, in fact, these open forests are their preferred habitat.
clip_195 | Browsing elephants open up a forest,
clip_196 | and that attracts the animals on which the dogs prey.
clip_197 | For the dogs, the Miombo forest is perfect hunting country.
clip_198 | And it's also an excellent place in which to bring up pups.
clip_199 | The pups greet the adults returning from a hunt
clip_200 | with great excitement.
clip_201 | Food.
clip_202 | The first three months of the pups' lives are spent sheltering underground.
clip_203 | Now, they are confident enough
clip_204 | to stay out in the open for much of the time.
clip_205 | And then, like all puppies, they have fun.
clip_206 | Playing is important for the youngsters,
clip_207 | for as they do so, they establish the social bonds
clip_208 | that they will need when they start to hunt together as a team.
clip_209 | The Miombo has always been important for hunting dogs,
clip_210 | both as a place to find prey and as a refuge.
clip_211 | Never has it been more crucial
clip_212 | for the survival of this endangered species than now.
clip_213 | But they will only survive if other creatures are here
clip_214 | to create the kind of habitat they need.
clip_215 | Madagascar has a forest
clip_216 | dominated uniquely by one of the oddest of trees.
clip_217 | Baobabs.
clip_218 | The island has been isolated for over 80 million years.
clip_219 | During that immensity of time, its animals and plants
clip_220 | have evolved into forms quite different from any elsewhere.
clip_221 | This makes them one of the most precious forests on our planet.
clip_222 | This is not a monkey, but a distant relative, a lemur,
clip_223 | and there are at least 40 different kinds of lemurs,
clip_224 | all unique to Madagascar and all endangered.
clip_225 | Lemurs are crucial to the forest.
clip_226 | Without them, some species of tree cannot survive.
clip_227 | The forest even has its own specialized lemur hunter.
clip_228 | It's Madagascar's top predator,
clip_229 | and its presence is cause for alarm.
clip_230 | It can grow to a length of one and a half meters,
clip_231 | and it's very seldom seen in the wild.
clip_232 | It's a fossa.
clip_233 | For most of the year, fossas are solitary,
clip_234 | but in the breeding season, they assemble in a way that is all their own.
clip_235 | Each mature female takes up residence in a special mating tree.
clip_236 | Half a dozen or so male fossas have gathered in the forest below it,
clip_237 | but she is clearly occupied.
clip_238 | So, one of the males leaves his scent.
clip_239 | A visiting card, just to show that he called.
clip_240 | He will just have to wait around and see whether she takes any notice.
clip_241 | Her present engagement can last all night.
clip_242 | With its top predators distracted, the rest of the forest animals
clip_243 | can go about their normal nightly business undisturbed.
clip_244 | These are immature leaf bugs, a species found only here in Madagascar.
clip_245 | Why they have this extraordinary shape, no one knows.
clip_246 | They feed on tree sap,
clip_247 | absorbing the part they need and excreting the rest as a sweet liquid
clip_248 | sometimes known, perhaps flatteringly, as honeydew.
clip_249 | And honeydew, in turn, provides food for a particular species of small lemur.
clip_250 | The gray mouse lemur is only 15 centimeters long,
clip_251 | one of the smallest primates in the world.
clip_252 | It's very active and needs an energy-packed food.
clip_253 | And while the sugar drops are clearly delicious,
clip_254 | they're not very sustaining.
clip_255 | So, she's not going to let a single drop go to waste.
clip_256 | The male fossas below are still awaiting their turn.
clip_257 | So, having eaten as much as she can,
clip_258 | she retreats to the safety of her nest hole
clip_259 | to sleep during the daylight hours.
clip_260 | Things are not looking so satisfactory on the ground
clip_261 | around the fossas' mating tree.
clip_262 | The pair above are clearly still engaged.
clip_263 | He will either have to find another mating tree or be very patient.
clip_264 | But he may well fail altogether.
clip_265 | A third of Madagascar's fossas have disappeared in the last 20 years,
clip_266 | a result of the continued destruction of their forests by people.
clip_267 | Since these pictures were recorded,
clip_268 | this forest, and the unique life it once contained,
clip_269 | have disappeared altogether.
clip_270 | Only three percent of Madagascar's dry forest remains.
clip_271 | Worldwide, we have now destroyed
clip_272 | over half of the forests that once flourished on our planet.
clip_273 | Not only are we losing the animals that once lived in them,
clip_274 | we are also changing the climate of the entire globe.
clip_275 | But our planet's forests, if given the chance,
clip_276 | are almost unbelievably resilient.
clip_277 | Perhaps the best proof we have of their ability to recover
clip_278 | can be seen on the site of one of our greatest disasters.
clip_279 | Chernobyl.
clip_280 | In 1986, one of the four reactors at the Chernobyl nuclear plant exploded.
clip_281 | It turned this utopian vision of the future into a ghost town.
clip_282 | Over 100,000 people were immediately evacuated,
clip_283 | never to return.
clip_284 | The fallout zone was declared uninhabitable for the next 20,000 years.
clip_285 | Yet despite the radiation, there has been a remarkable recovery.
clip_286 | Within only a decade,
clip_287 | vegetation began to germinate in the ruined city.
clip_288 | And as the forest reestablished itself, animals began to appear.
clip_289 | At first it was thought that these were rare visitors,
clip_290 | but it soon became clear that the former city
clip_291 | was occupied by an established and thriving wild community.
clip_292 | Within only 20 years,
clip_293 | science has recorded populations of animals
clip_294 | similar to that in the wilder parts of Europe.
clip_295 | Roe deer are now a common sight, wandering through the suburbs.
clip_296 | Herds of the endangered Przewalski's horse
clip_297 | now roam freely through the once busy city.
clip_298 | Most surprising of all perhaps,
clip_299 | the top predator of these forests has reappeared.
clip_300 | Wolves.
clip_301 | Hunters like these would only return
clip_302 | if their prey and the surrounding forest is also thriving.
clip_303 | Now, studies have shown
clip_304 | that there are seven times more wolves inside the exclusion zone than outside it.
clip_305 | No unprotected human being
clip_306 | can stay here for long without lethal risk.
clip_307 | But in driving us out,
clip_308 | the radiation has created space for wildlife to return.
clip_309 | The dramatic recolonization of Chernobyl in the space of only 30 years
clip_310 | is proof of forests' extraordinary resilience.
clip_311 | If we choose to give forests time and space,
clip_312 | they could reclothe the earth
clip_313 | with much of the rich and varied communities of animals and plants
clip_314 | of which we have, so recently, robbed it.
clip_315 | A future with more forests is key to the resilience of our planet.
clip_316 | Please visit ourplanet.com
clip_317 | to discover what we need to do now to restore our forests.
