clip_1 | Just 50 years ago,
clip_239 | Bluefin tuna.
clip_240 | They're streamlined to perfection and built for speed.
clip_241 | They hunt in great packs, hundreds strong.
clip_242 | The target: a school of anchovies.
clip_243 | They gently corral the anchovies into a tight ball at the surface,
clip_244 | careful not to cause panic.
clip_245 | And then they attack.
clip_246 | This is a highly coordinated hunt.
clip_247 | The tuna take turns,
clip_248 | striking from the same direction to keep the anchovies on the run.
clip_249 | After a mouthful, each bluefin peels off to take its place at the rear.
clip_250 | Wave after wave continues the assault.
clip_251 | With their power and devastating pace,
clip_252 | bluefin tuna are one of the ocean's most impressive hunters.
clip_253 | They are also the most prized fish in the sea.
clip_254 | So valuable that a single bluefin can sell in Japan
clip_255 | for over a million dollars.
clip_256 | So, perhaps it's inevitable
clip_257 | that they have been fished almost to extinction.
clip_258 | Bluefin tuna are not the only ones in peril.
clip_259 | Decades of unsustainable fishing
clip_260 | have left many fish stocks in serious decline.
clip_261 | A third have collapsed altogether.
clip_262 | Plastic pollution is a grave issue for our oceans,
clip_263 | but industrial overfishing is far more dangerous.
clip_264 | If we continue to harvest the seas in this way,
clip_265 | it's not just fisheries that will collapse.
clip_266 | The whole ocean system could follow.
clip_267 | One hundred million sharks are killed every year,
clip_268 | just to make shark fin soup.
clip_269 | Ninety percent of all large ocean hunters have disappeared.
clip_270 | Without them at the top of the food chain, the whole community of marine life
clip_271 | is declining and changing beyond recognition.
clip_272 | Squid are increasingly replacing fish.
clip_273 | We have severely depleted both their predators and competitors,
clip_274 | so squid are taking over,
clip_275 | an indication of a serious imbalance in the oceans.
clip_276 | Squid breed quickly and have lots of fast-growing young,
clip_277 | so they can rapidly exploit the gaps left by the fish that we have harvested.
clip_278 | They lay their eggs in cases on the seafloor.
clip_279 | The young develop even faster in these warm, shallow waters.
clip_280 | With such drastic changes in the marine menu,
clip_281 | predators are having to adapt.
clip_282 | Sea lions prefer to eat more energy-rich prey,
clip_283 | like anchovies and sardines,
clip_284 | but with these in short supply,
clip_285 | they're forced to rely more on a diet of squid.
clip_286 | We, too, will be forced to change the seafood we eat
clip_287 | if we continue to fish as we do.
clip_288 | But if we harvest the oceans in a sustainable way,
clip_289 | they can be marvelously productive
clip_290 | and will provide us with an abundance of food.
clip_291 | There are already signs that the ocean has the power
clip_292 | to recover astonishingly quickly.
clip_293 | Humpback whales.
clip_294 | They live in every ocean,
clip_295 | traveling the high seas, from their polar feeding grounds
clip_296 | to the tropics, where they breed.
clip_297 | Yet whales have not always enjoyed such freedom.
clip_298 | Once, there were more than a hundred thousand humpbacks
clip_299 | in the oceans,
clip_300 | but last century, they were hunted to near extinction.
clip_301 | Just a few thousand survived the onslaught.
clip_302 | A huge public outcry
clip_303 | finally led to a ban on commercial whaling in 1986.
clip_304 | Since then, the number of humpback whales has been steadily increasing.
clip_305 | They're returning to their ancestral feeding grounds,
clip_306 | like these off the coast of South Africa.
clip_307 | They are gathering to take advantage of a seasonal abundance of krill,
clip_308 | tiny shrimp-like crustaceans.
clip_309 | The whales take in great mouthfuls of water,
clip_310 | trapping the krill on sieves of hairy bristles
clip_311 | that line their jaws.
clip_312 | Each whale can eat over a ton a day.
clip_313 | With food so plentiful, fur seals come to claim their share.
clip_314 | These extraordinary scenes were unimaginable just a few years ago.
clip_315 | They form super-groups, hundreds strong.
clip_316 | This is the greatest gathering of whales seen for a century.
clip_317 | Whales recycle nutrients that enrich surface waters,
clip_318 | which fuel the growth of phytoplankton,
clip_319 | and they, in turn, feed krill in a perfect self-sustaining cycle.
clip_320 | We now know that a healthy community of great hunters,
clip_321 | whales, dolphins, tuna, and sharks,
clip_322 | is essential for a fully-functioning ocean.
clip_323 | And a functioning ocean is vital to the health of our planet
clip_324 | and humanity.
clip_325 | In a remarkable recovery,
clip_326 | humpback whales have almost returned to their original numbers.
clip_327 | But during that time,
clip_328 | we have done more harm to the oceans than ever before in human history.
clip_329 | Only with global cooperation
clip_330 | will our oceans recover and thrive once again.
clip_331 | We saved the whales by international agreement.
clip_332 | Now, it is time to save our oceans.
clip_333 | Please visit ourplanet.com to discover what we need to do now
clip_334 | to protect the high seas.
