clip_1 | Just 50 years ago,
clip_240 | collected during the Mekong's long journey from the Tibetan Plateau.
clip_241 | Even before the flood, the water covers a vast area of land.
clip_242 | These exposed roots are evidence
clip_243 | of the great rise in water level that is to come.
clip_244 | When the main flood does arrive,
clip_245 | the trees are submerged up to their branches.
clip_246 | For a few months, the floodwaters create the planet's greatest breeding grounds
clip_247 | for freshwater fish.
clip_248 | One species has a particularly ingenious solution
clip_249 | to the problems of living in shallow, oxygen-poor water.
clip_250 | The Siamese fighting fish.
clip_251 | The male breathes by gulping air from the surface,
clip_252 | and during the breeding season
clip_253 | he uses that ability to build a raft of bubbles.
clip_254 | Day after day he labors.
clip_255 | A female, waiting nearby, rises to inspect the raft.
clip_256 | They wrap themselves around one another in a tender embrace.
clip_257 | This union encourages her to release her eggs.
clip_258 | As they sink downwards, the male fertilizes them.
clip_259 | Both carefully collect them,
clip_260 | and then blow them, one by one, into the bubble nest.
clip_261 | Oxygen is scarce in these stagnant waters,
clip_262 | but the eggs will get enough from the bubbles
clip_263 | to allow them to develop.
clip_264 | The climax of the flood is still to come.
clip_265 | Eventually, so much water surges down the Mekong
clip_266 | that the Tonlé Sap Lake expands to five times its dry-season size.
clip_267 | Vast numbers of fish now swim into these new feeding grounds.
clip_268 | People have harvested this seasonal event for millennia.
clip_269 | They set nets across half of the river,
clip_270 | leaving the other half free
clip_271 | for the rest of the fish to swim on and breed.
clip_272 | The Mekong, in fact, supports the largest inland fishery in the world.
clip_273 | One-fifth of all the freshwater fish caught by people worldwide
clip_274 | comes from this one river system.
clip_275 | But the future of the Mekong,
clip_276 | like that of so many other rivers around the world,
clip_277 | is increasingly at risk.
clip_278 | We have changed the natural flow
clip_279 | of more than two-thirds of the planet's longest rivers
clip_280 | by, amongst other things, building dams across them.
clip_281 | So now, many rivers across the world no longer flow.
clip_282 | Here in East Africa, in Ruaha, Tanzania,
clip_283 | these elephants are searching for water.
clip_284 | Each needs to drink 200 liters every day, and there doesn't seem to be any here.
clip_285 | But the elephants know that baobab wood contains a lot of moisture.
clip_286 | And in an emergency, they eat it in great quantities.
clip_287 | Lions also need water.
clip_288 | And conveniently for the lions, water is where their prey will gather.
clip_289 | So both predators and prey head for the rivers.
clip_290 | Until 30 years ago,
clip_291 | rivers in this part of Africa never ran dry.
clip_292 | Now, agriculture upstream is taking great quantities,
clip_293 | and during the dry season, the rivers shrink into isolated pools.
clip_294 | Hippos rely on flowing water to keep themselves cool during the day,
clip_295 | but now they have to make do with mud.
clip_296 | As the water level falls still further, they cram together.
clip_297 | Tempers begin to fray.
clip_298 | Each day, the mud pools shrink further, and the hippos' plight worsens.
clip_299 | Buffalo, in the urgent search for water.
clip_300 | The lions are already here at this water hole.
clip_301 | However, the buffalo are driven on by their desperate need for fresh water.
clip_302 | They need to drink every day.
clip_303 | Every drink is now a risk,
clip_304 | but the buffalo have no choice.
clip_305 | As the drought continues, the buffalo begin to weaken.
clip_306 | The odds are changing, in the lions' favor.
clip_307 | The elephants have reached their river.
clip_308 | Nothing else is here because it's dry.
clip_309 | But elephants can find water where others can't.
clip_310 | They use their trunks to dig holes in the sand of the riverbed.
clip_311 | The extraordinary sense of smell
clip_312 | that enables them to detect open water from kilometers away
clip_313 | also helps them to locate places underground
clip_314 | where it lies closest to the surface.
clip_315 | In severe droughts, the wells they dig can be their lifeline.
clip_316 | The hardships of the dry season have always been part of life
clip_317 | on East Africa's plains,
clip_318 | but as the planet warms,
clip_319 | and we ourselves take so much water for our own purposes,
clip_320 | the droughts are becoming more frequent and more severe.
clip_321 | The Platte River, in Nebraska, North America.
clip_322 | Each year, sandhill cranes arrive here as they travel north across America
clip_323 | on one of the last great migrations made by any animal.
clip_324 | It's one of their crucial staging posts.
clip_325 | The river once flooded the prairie for a mile in all directions.
clip_326 | This was a perfect place for them to feed and rest.
clip_327 | Now, we have dammed the river
clip_328 | and taken so much of its water for our own use
clip_329 | that there is little space left for the cranes.
clip_330 | But conservationists now manage the river's flow in such a way
clip_331 | that it still creates the sandbanks the cranes need.
clip_332 | We are not alone in our need for water,
clip_333 | but we have the ability to ensure the fresh waters of the world do flow,
clip_334 | and we alone can determine how they are shared.
clip_335 | Please visit ourplanet.com to discover what we need to do now
clip_336 | to ensure fresh water keeps flowing.
