clip_1 | Just 50 years ago,
clip_184 | most of it to agriculture.
clip_185 | What we eat, and how we produce it,
clip_186 | will determine the future of our planet's grasslands.
clip_187 | Our past could show us how we can feed ourselves
clip_188 | and still leave room for nature.
clip_189 | The ancient hay meadows of Hungary, still farmed in the traditional way,
clip_190 | provide habitats of extraordinary richness.
clip_191 | Butterflies are abundant.
clip_192 | One species has an almost unbelievably complex life cycle.
clip_193 | The Alcon blue.
clip_194 | Each female must mate and lay eggs on just one species of plant,
clip_195 | the marsh gentian.
clip_196 | The eggs soon hatch into caterpillars.
clip_197 | High up on the plants, they're safe from predators below.
clip_198 | But then, the caterpillars do something seemingly suicidal.
clip_199 | They abseil down on threads of silk to the ground below...
clip_200 | and into danger.
clip_201 | They have no defense against the marauding ants,
clip_202 | which carry them off.
clip_203 | But this is exactly what the caterpillars need to happen.
clip_204 | They're producing a scent like that emitted by an ant larva.
clip_205 | The ants respond by taking them back to their nest.
clip_206 | There, they deposit them in the colony's brood chamber.
clip_207 | The purple-colored caterpillars, lying among the ants' own white larvae,
clip_208 | give off just the right signals.
clip_209 | And the nurse ants rush to feed them.
clip_210 | But there is more.
clip_211 | The caterpillars now start to mimic the sounds made by the queen ant,
clip_212 | and, as a result, the ants treat them like royalty.
clip_213 | If food gets short,
clip_214 | the ants will even feed the caterpillars instead of their own young.
clip_215 | They give them such quantities of food that the caterpillars grow hugely.
clip_216 | And there, underground, the caterpillars feed and grow for nearly two years.
clip_217 | Until, one day, there is nothing for the ants to feed.
clip_218 | The caterpillars have pupated.
clip_219 | But a few weeks later,
clip_220 | out crawls an Alcon blue butterfly.
clip_221 | Now, they begin to leave the nest
clip_222 | that has been their home for the last 23 months.
clip_223 | The young adult makes its way out of the nest
clip_224 | and clambers up a grass stem.
clip_225 | Its wings expand as it prepares to fly off and find a mate.
clip_226 | This complex life may be laborsaving for the butterfly,
clip_227 | but it's risky.
clip_228 | If anything happened to the ants or to the gentian,
clip_229 | the Alcon blue would become extinct.
clip_230 | Only tiny fragments of these ancient meadows
clip_231 | are left in Europe.
clip_232 | But beyond them to the east,
clip_233 | once stretched grasslands that extended for a fifth of the way around the world,
clip_234 | from Romania to China.
clip_235 | Here, there are places where, for mile after endless mile,
clip_236 | there are no roads or fences.
clip_237 | Here, where there are no trees, eagles nest on the ground.
clip_238 | Once, these eagles would have preyed on antelope that numbered in millions.
clip_239 | And some are still here.
clip_240 | These are saiga, antelope that live nowhere else in the world.
clip_241 | Their extraordinary noses are specially adapted
clip_242 | to filter out the dust kicked up by the immense herds
clip_243 | that once lived here.
clip_244 | Now, they're critically endangered.
clip_245 | Poaching and the loss of habitat have had a devastating impact on them.
clip_246 | But conservation efforts have recently started to make a difference.
clip_247 | There is still hope for these extraordinary plains dwellers.
clip_248 | And the proof of this can be found further east, in Mongolia,
clip_249 | where the grasslands still remain largely intact.
clip_250 | These are Przewalski’s horses.
clip_251 | Fifty years ago, they were extinct in the wild,
clip_252 | but a few adults survived in captivity.
clip_253 | Careful breeding from 12 of them increased their numbers
clip_254 | until there were sufficient to release on the plains.
clip_255 | These are their descendants.
clip_256 | A stallion protects each harem.
clip_257 | They must be vigilant, and they race to defend their herd...
clip_258 | or chase off bachelors trying to lure away a mare.
clip_259 | With their numbers now topping 300,
clip_260 | the future for these wild horses looks more secure.
clip_261 | Their recovery was only possible
clip_262 | because the vast Mongolian steppe still remains largely untouched.
clip_263 | These grasses are some of the tallest to be found anywhere on our planet.
clip_264 | They're so tall they can conceal elephants.
clip_265 | They make the giants that live among them seem small.
clip_266 | A last hiding place
clip_267 | for the highly endangered greater one-horned rhino.
clip_268 | This is India,
clip_269 | one of the most populous countries on Earth.
clip_270 | Yet here there is a great determination to protect these crucial grasslands.
clip_271 | What must it be like
clip_272 | to live in this dense, claustrophobic world?
clip_273 | Just moving about could mean walking into danger.
clip_274 | The grasses conceal tigers.
clip_275 | Stripes and shadows blend.
clip_276 | Long grass may hide a tigress from her prey,
clip_277 | but it also hides the prey from her.
clip_278 | She must get within 20 meters of it.
clip_279 | And she must always know exactly where the prey are hidden.
clip_280 | She may have lost them.
clip_281 | She risks a look.
clip_282 | Every deer around now knows exactly where the tiger is.
clip_283 | Others have heard the signal that announced her failure.
clip_284 | Her cubs.
clip_285 | She had left them hidden in the grass.
clip_286 | In the last hundred years,
clip_287 | the number of wild tigers has declined by over 95 percent.
clip_288 | But here in India,
clip_289 | despite the enormous pressure from poaching,
clip_290 | and a growing human population,
clip_291 | tiger numbers are actually increasing.
clip_292 | Protect the precious space that grasslands and deserts provide,
clip_293 | and the animals will bounce back.
clip_294 | Please visit ourplanet.com
clip_295 | to discover what we need to do now to protect wild grasslands.
