clip_1 | Just 50 years ago,
clip_167 | but it's the four-tonne males you need to look out for.
clip_168 | They are fighting for access to the females.
clip_169 | Getting bulldozed under angry blubber is to be avoided at all costs.
clip_170 | An escape route.
clip_171 | Time to run for it.
clip_172 | At last, he's reached the nursery.
clip_173 | Now comes his final challenge.
clip_174 | Finding his chick in the crowd of half a million.
clip_175 | He calls...
clip_176 | ...and listens for a recognizable reply.
clip_177 | His chick could be another mile or two away,
clip_178 | at the back of the colony.
clip_179 | But that's the trouble with chicks.
clip_180 | They're never where you left them.
clip_181 | Astonishingly, in all this racket,
clip_182 | a parent and its chick can recognize each other's calls.
clip_183 | The things parents go through to deliver a meal.
clip_184 | If only they knew.
clip_185 | For such a small island,
clip_186 | South Georgia supports an extraordinary quantity of life.
clip_187 | All these creatures ultimately depend on the krill
clip_188 | that develops under the sea ice around the Antarctic peninsula.
clip_189 | With sea ice disappearing,
clip_190 | so South Georgia's future is far from certain.
clip_191 | At the other end of the planet, in the north,
clip_192 | the effects of climate change are being felt even more intensely.
clip_193 | The Arctic is not a continent surrounded by sea
clip_194 | but a frozen ocean ringed by land.
clip_195 | Here, in spring, the sea ice is still at its maximum extent.
clip_196 | It's a vast, firm hunting ground for the planet's largest land carnivore.
clip_197 | A male polar bear in search of his next meal
clip_198 | on the frozen fjords of Svalbard in the high Arctic.
clip_199 | He's looking for seals, which make up the bulk of his diet.
clip_200 | He must eat two-thirds of the food he needs for the whole year
clip_201 | before the ice melts and his hunting platform disappears.
clip_202 | The ringed seal mother had no choice but to leave her pup alone on the surface.
clip_203 | In the past, she would have built a den inside a ridge on the ice,
clip_204 | but now the sea freezes so late that the ice is flat,
clip_205 | and she had to leave her pup out in the open.
clip_206 | These changes in the ice may benefit the bears for now,
clip_207 | but in the long term,
clip_208 | a crash in their most important prey will follow.
clip_209 | This new, flatter ice makes life difficult for the bears, too.
clip_210 | There's nowhere for them to hide in order to creep up on a seal.
clip_211 | And for a mother with a young cub in tow, being stealthy isn't easy.
clip_212 | The cub doesn't yet appreciate the need for care
clip_213 | when sneaking up on a seal.
clip_214 | With fewer seals hiding in dens,
clip_215 | learning this pounding technique, once so useful,
clip_216 | is now almost pointless.
clip_217 | Still, at least he's discovered what a seal hole looks like..
clip_218 | His mother knows that overcast conditions are good for hunting,
clip_219 | and he knows when she's serious.
clip_220 | Adult seals make a much better meal.
clip_221 | Her cub carefully treads in her footsteps,
clip_222 | and takes care not to break her outline.
clip_223 | Neither must put a foot wrong.
clip_224 | They must move as one.
clip_225 | Most seal hunts end in failure.
clip_226 | The bears must keep searching.
clip_227 | Her cub wanders off,
clip_228 | and gets another chance.
clip_229 | A seal pup alone on the ice.
clip_230 | Now it's not stealth that is needed, but confidence.
clip_231 | There's nothing the mother can do,
clip_232 | except hope that the pup makes it back to her hole in time.
clip_233 | The inexperienced young hunter hesitates.
clip_234 | Its mother knows better.
clip_235 | Safe under the ice.
clip_236 | Polar bears are adaptable predators, but they rely on sea ice.
clip_237 | If that disappears, so will the bears.
clip_238 | Summer at the ice edge in the Canadian Arctic,
clip_239 | and the annual retreat of sea ice is well underway.
clip_240 | As it melts, nomads arrive.
clip_241 | Narwhal, the origin of the unicorn legend.
clip_242 | Their three-meter tusk is, in fact, no more than an overgrown canine tooth,
clip_243 | but its exact function, like so much about narwhals,
clip_244 | is still, in part, a mystery.
clip_245 | Each summer, narwhals travel to the same part of the Arctic,
clip_246 | and patiently wait at the ice edge for a crack to open up.
clip_247 | A lead in the ice, wide enough for them to swim along.
clip_248 | Eventually, a crack appears.
clip_249 | Their passage to sheltered, shallow bays.
clip_250 | Narwhals are extremely timid and rarely filmed underwater.
clip_251 | These ice whales eagerly travel down the leads as soon as they open
clip_252 | because they're safer from predators protected by the ice.
clip_253 | The leads may also give them access to new feeding grounds.
clip_254 | Sea ice is not just crucial
clip_255 | to the lives of those creatures that live around the poles.
clip_256 | It plays a vital role in determining the climate of the whole planet.
clip_257 | A white surface keeps the earth cool
clip_258 | by reflecting most of the sun's energy back into space.
clip_259 | A dark surface does the opposite,
clip_260 | absorbing over 90 percent of the sun's energy
clip_261 | and so warming the earth.
clip_262 | As the sea ice shrinks,
clip_263 | we're starting to lose one of our planet's protective white shields.
clip_264 | For thousands of years,
clip_265 | there's been a balance in the advance and retreat of the sea ice,
clip_266 | but that is no longer the case.
clip_267 | Today, during the summer months,
clip_268 | there is 40 percent less sea ice cover than there was in 1980.
clip_269 | The Arctic is warming twice as fast as anywhere else on our planet.
clip_270 | By 2040, the ocean here will be largely free of ice
clip_271 | during the summer months.
clip_272 | This loss of ice will inevitably have devastating consequences
clip_273 | for all those that still depend on it.
clip_274 | The far northeastern coast of Russia.
clip_275 | This is the largest gathering of walrus on the planet.
clip_276 | Over a hundred thousand have hauled out on one single beach.
clip_277 | They do so out of desperation, not out of choice.
clip_278 | Their natural home is out on the sea ice.
clip_279 | But the ice has retreated away to the north,
clip_280 | and this is the closest place to their feeding grounds,
clip_281 | where they can find rest.
clip_282 | This calf must stay close to its mother.
clip_283 | But every square inch is occupied.
clip_284 | Climbing over the tightly packed bodies
clip_285 | is the only way across the crowd.
clip_286 | Those beneath can get crushed to death.
clip_287 | A stampede can occur out of nowhere.
clip_288 | Under these conditions, walruses are a danger to themselves.
clip_289 | Some manage to find space away from the crowds.
clip_290 | They struggle up the 80-meter cliffs,
clip_291 | an extraordinary challenge for a one-tonne animal used to sea ice.
clip_292 | At least up here there's space to rest.
clip_293 | A walrus's eyesight out of water is poor,
clip_294 | but they can sense the others down below.
clip_295 | As they get hungry, they need to return to the sea.
clip_296 | In their desperation to do so,
clip_297 | hundreds fall from heights they should never have scaled.
clip_298 | These mass gatherings of walrus are now happening almost every year.
clip_299 | So the lives of walruses, like those of polar bears and seals,
clip_300 | are changing.
clip_301 | All are living at the frontier of climate change,
clip_302 | and all are suffering as a consequence.
clip_303 | For now, the Arctic winter returns and the sea ice reforms.
clip_304 | Order is restored.
clip_305 | Relief for the many creatures that depend on the ice.
clip_306 | But for how much longer
clip_307 | will their frozen worlds be a part of life on our planet?
clip_308 | Please visit ourplanet.com
